"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
1;2;3;4;5;6;7;8
1;1-я Курская ул 1 ;32;1256,6;1;40,2;3,20;14
2;1-я Курская ул 14 ;4;112,7;1;24;52,53;4
3;1-я Курская ул 14 ;;35,2;1;35,2;;3
4;1-я Курская ул 29 ;3;170,2;3;170,2;100,00;1,3,6,
5;1-я Курская ул 44 ;1;34,5;1;34,5;100,00;2
6;1-я Курская ул 44 А;1;36,1;0;0;0,00;
7;1-я Курская ул 44 Б;1;34,5;0;0;0,00;
8;1-я Курская ул 46 ;7;149,9;0;0;0,00;
9;1-я Курская ул 54 ;318;17994,3;2;128,8;0,93;201, 357
10;1-я Курская ул 54 ;;;1;38,8;;181
11;1-я Курская ул 55 ;32;1267;0;0;0,00;
12;1-я Курская ул 72 ;216;11636,2;0;0;0,00;
13;1-я Курская ул 88 ;23;630,9;5;138,9;37,17;21,27,28,31,32,
14;1-я Курская ул 88 ;;;1;29;;29
15;1-я Курская ул 88 ;;;1;25,4;;30
16;1-я Курская ул 88 ;;;1;14,4;;10
17;1-я Курская ул 88 ;;;1;26,8;;16
18;1-я Курская ул 88 ;14;462,6;6;162,3;42,41;42,43,44,45,46,47,
19;1-я Курская ул 88 ;;;1;24,8;;39
20;1-я Курская ул 88 ;;;1;9,1;;40(1/2)
21;1-я Курская ул 88 ;1;37,9;1;37,9;100,00;7
22;1-я Курская ул 99 А;24;759,9;8;234;43,89;3,8,9,13,15,22,24,26,
23;1-я Курская ул 99 А;;;1;33,8;;16
24;1-я Курская ул 99а;;;1;28,1;;27
25;1-я Курская ул 99а;;;1;37,6;;10
26;1-я Посадская ул 16 ;18;601,3;1;20,1;3,84;21
27;1-я Посадская ул 17 ;24;816,8;3;113,1;13,85;9,27,28,
28;1-я Посадская ул 32 ;3;73,9;1;18,1;24,49;4,
